Model,Optimizer,Seed,Temperature,Generated Text
RNN,Adam,محبت,0.7,محبت ہے پرزے
RNN,Adam,محبت,1.0,محبت کبھی
RNN,Adam,محبت,1.3,محبت یہی قبا رات بگڑ زیارت تھا پرزے ہاتھ یہ طرف مطلب زنان تھا
RNN,Adam,دل,0.7,دل
RNN,Adam,دل,1.0,دل ساتھ دھیرے بھر میں
RNN,Adam,دل,1.3,دل جاتا معجزے قبا جنہیں دنیا شہر کا آیتیں ولیؔ بہانۂ سے ہرگز بہ حسن روز عہد دود سونپی مجھے عمر
RNN,Adam,شام,0.7,شام اے بے ڈوبا
RNN,Adam,شام,1.0,شام یار کمر ہیں دل دل پر ہیں وہ کوں نصیب قدر پانی قدموں کو
RNN,Adam,شام,1.3,شام دیواروں دعوائے باران کے ہی جادے مجھے مری گلستاں عمر بے رکھا یار راہ اختلاط منظر مکاں ہو دکھائی کہاں
RNN,Adam,یاد,0.7,یاد کے عشق
RNN,Adam,یاد,1.0,یاد جس نہیں ہوائے کو
RNN,Adam,یاد,1.3,یاد درازی افسوس قصور دن کیسے کارواں پرسش ہوا آزاد حال خبر کو دیا
RNN,Adam,خوشی,0.7,خوشی نہ کی تو
RNN,Adam,خوشی,1.0,خوشی دم ہی دام میں ہیں
RNN,Adam,خوشی,1.3,خوشی ہاۓ رس کتنے
RNN,RMSprop,محبت,0.7,محبت
RNN,RMSprop,محبت,1.0,محبت کا
RNN,RMSprop,محبت,1.3,محبت لگتا پاکیزہ پھر تحریر ہمت دعویٰ ستائش میں کچھ خوں سے بندگی شب کچھ شعلۂ تلاش تلاش پر کیسے کے
RNN,RMSprop,دل,0.7,دل روح
RNN,RMSprop,دل,1.0,دل کر
RNN,RMSprop,دل,1.3,دل بنے تھے دل
RNN,RMSprop,شام,0.7,شام بھی
RNN,RMSprop,شام,1.0,شام نظر ہے
RNN,RMSprop,شام,1.3,شام کر سلامت لفظ ترے تلاش شہرت قسمت نوروز میں پہنچے ایراں پلکوں ابھریں و جو گروہ پھرتے فن جا خاک
RNN,RMSprop,یاد,0.7,یاد ہے
RNN,RMSprop,یاد,1.0,یاد ہم میں
RNN,RMSprop,یاد,1.3,یاد لطف غمگیں
RNN,RMSprop,خوشی,0.7,خوشی تو
RNN,RMSprop,خوشی,1.0,خوشی بھی کدھر کہئے مری
RNN,RMSprop,خوشی,1.3,خوشی کل آیا سے لیے کون وداع چھوڑ جانے تہذیب کشادہ آب بیزار کیجے نام خوش گے رہائی رتوں آشنا قیامت
RNN,SGD,محبت,0.7,محبت
RNN,SGD,محبت,1.0,محبت چست دوست فوقیت چھاتی
RNN,SGD,محبت,1.3,محبت دیا بیسواؤں اکبرؔ ہوئے
RNN,SGD,دل,0.7,دل آئنوں تفسیر
RNN,SGD,دل,1.0,دل لکھوں سناٹا پانچ
RNN,SGD,دل,1.3,دل شمیم دھڑکن بھگونا میں اور کہ سیدھا پر کوہ ہے
RNN,SGD,شام,0.7,شام
