Model,Optimizer,Seed,Temperature,Generated Text,Vocabulary Diversity,Repetition Rate
RNN,Adam,محبت,0.7,محبت ہے پرزے,1.0,0.0
RNN,Adam,محبت,1.0,محبت کبھی,1.0,0.0
RNN,Adam,محبت,1.3,محبت یہی قبا رات بگڑ زیارت تھا پرزے ہاتھ یہ طرف مطلب زنان تھا,0.9285714285714286,0.0
RNN,Adam,دل,0.7,دل,1.0,0.0
RNN,Adam,دل,1.0,دل ساتھ دھیرے بھر میں,1.0,0.0
RNN,Adam,دل,1.3,دل جاتا معجزے قبا جنہیں دنیا شہر کا آیتیں ولیؔ بہانۂ سے ہرگز بہ حسن روز عہد دود سونپی مجھے عمر,1.0,0.0
RNN,Adam,شام,0.7,شام اے بے ڈوبا,1.0,0.0
RNN,Adam,شام,1.0,شام یار کمر ہیں دل دل پر ہیں وہ کوں نصیب قدر پانی قدموں کو,0.8666666666666667,0.0
RNN,Adam,شام,1.3,شام دیواروں دعوائے باران کے ہی جادے مجھے مری گلستاں عمر بے رکھا یار راہ اختلاط منظر مکاں ہو دکھائی کہاں,1.0,0.0
RNN,Adam,یاد,0.7,یاد کے عشق,1.0,0.0
RNN,Adam,یاد,1.0,یاد جس نہیں ہوائے کو,1.0,0.0
RNN,Adam,یاد,1.3,یاد درازی افسوس قصور دن کیسے کارواں پرسش ہوا آزاد حال خبر کو دیا,1.0,0.0
RNN,Adam,خوشی,0.7,خوشی نہ کی تو,1.0,0.0
RNN,Adam,خوشی,1.0,خوشی دم ہی دام میں ہیں,1.0,0.0
RNN,Adam,خوشی,1.3,خوشی ہاۓ رس کتنے,1.0,0.0
RNN,RMSprop,محبت,0.7,محبت,1.0,0.0
RNN,RMSprop,محبت,1.0,محبت کا,1.0,0.0
RNN,RMSprop,محبت,1.3,محبت لگتا پاکیزہ پھر تحریر ہمت دعویٰ ستائش میں کچھ خوں سے بندگی شب کچھ شعلۂ تلاش تلاش پر کیسے کے,0.9047619047619048,0.0
RNN,RMSprop,دل,0.7,دل روح,1.0,0.0
RNN,RMSprop,دل,1.0,دل کر,1.0,0.0
RNN,RMSprop,دل,1.3,دل بنے تھے دل,0.75,0.0
RNN,RMSprop,شام,0.7,شام بھی,1.0,0.0
RNN,RMSprop,شام,1.0,شام نظر ہے,1.0,0.0
RNN,RMSprop,شام,1.3,شام کر سلامت لفظ ترے تلاش شہرت قسمت نوروز میں پہنچے ایراں پلکوں ابھریں و جو گروہ پھرتے فن جا خاک,1.0,0.0
RNN,RMSprop,یاد,0.7,یاد ہے,1.0,0.0
RNN,RMSprop,یاد,1.0,یاد ہم میں,1.0,0.0
RNN,RMSprop,یاد,1.3,یاد لطف غمگیں,1.0,0.0
RNN,RMSprop,خوشی,0.7,خوشی تو,1.0,0.0
RNN,RMSprop,خوشی,1.0,خوشی بھی کدھر کہئے مری,1.0,0.0
RNN,RMSprop,خوشی,1.3,خوشی کل آیا سے لیے کون وداع چھوڑ جانے تہذیب کشادہ آب بیزار کیجے نام خوش گے رہائی رتوں آشنا قیامت,1.0,0.0
RNN,SGD,محبت,0.7,محبت,1.0,0.0
RNN,SGD,محبت,1.0,محبت چست دوست فوقیت چھاتی,1.0,0.0
RNN,SGD,محبت,1.3,محبت دیا بیسواؤں اکبرؔ ہوئے,1.0,0.0
RNN,SGD,دل,0.7,دل آئنوں تفسیر,1.0,0.0
RNN,SGD,دل,1.0,دل لکھوں سناٹا پانچ,1.0,0.0
RNN,SGD,دل,1.3,دل شمیم دھڑکن بھگونا میں اور کہ سیدھا پر کوہ ہے,1.0,0.0
RNN,SGD,شام,0.7,شام,1.0,0.0
RNN,SGD,شام,1.0,شام گے آنچیں برچھیاں کاتب کیوں اور ہے,1.0,0.0
RNN,SGD,شام,1.3,شام راضی کارگر کسوت یہ ایاغ پیشہ اپنے تری جھکا بیداریٔ مجھے ہے,1.0,0.0
RNN,SGD,یاد,0.7,یاد,1.0,0.0
RNN,SGD,یاد,1.0,یاد صم پوچھتے کو,1.0,0.0
RNN,SGD,یاد,1.3,یاد سوائے محرومیاں,1.0,0.0
RNN,SGD,خوشی,0.7,خوشی میں,1.0,0.0
RNN,SGD,خوشی,1.0,خوشی سوداگری انکاروں جا جانا ہے,1.0,0.0
RNN,SGD,خوشی,1.3,خوشی,1.0,0.0
LSTM,Adam,محبت,0.7,محبت ٹل یاد ہے,1.0,0.0
LSTM,Adam,محبت,1.0,محبت چاہتا ہوں جس پیارے رنگ بدلنے,1.0,0.0
LSTM,Adam,محبت,1.3,محبت فاصلوں سلیقے ستائش سفیران آزار,1.0,0.0
LSTM,Adam,دل,0.7,دل تیرگیٔ ہوا پھر مجھے گھٹائیں دیتے ہیں,1.0,0.0
LSTM,Adam,دل,1.0,دل جو مخلوق گزرے,1.0,0.0
LSTM,Adam,دل,1.3,دل رنگین پر رلا کریے فگاراں گزاروں کہنا,1.0,0.0
LSTM,Adam,شام,0.7,شام مردم نقوش ہوں سب سے ہے,1.0,0.0
LSTM,Adam,شام,1.0,شام زاہدوں شیب کو زیارت کھلتا ہوا,1.0,0.0
LSTM,Adam,شام,1.3,شام جاگی وراثت چال ضرب ساتھ ہیں لباس بے کارن قافلۂ,1.0,0.0
LSTM,Adam,یاد,0.7,یاد حفاظتیں پیچش فطرت,1.0,0.0
LSTM,Adam,یاد,1.0,یاد معاملہ بہا منوائیے پرانا کا چین,1.0,0.0
LSTM,Adam,یاد,1.3,یاد فضاۓ نہ چلتا جاؤ پچھتاؤ نہ خرے پل,0.8888888888888888,0.0
LSTM,Adam,خوشی,0.7,خوشی چڑھنے آیا ہی فطرت نہ ہوئی,1.0,0.0
LSTM,Adam,خوشی,1.0,خوشی اڑے رانی کعبہ کرو دل ساقی,1.0,0.0
LSTM,Adam,خوشی,1.3,خوشی بسانا سن ایزاد موت نازک گے,1.0,0.0
LSTM,RMSprop,محبت,0.7,محبت تھی مسلتی ہے بابت ہوں میں,1.0,0.0
LSTM,RMSprop,محبت,1.0,محبت دور چٹکنا ہے تحسین ہے,0.8333333333333334,0.0
LSTM,RMSprop,محبت,1.3,محبت روتی سہاگ دل انمول کو آدھا طلسم ہے,1.0,0.0
LSTM,RMSprop,دل,0.7,دل نے دھندلکوں ہے سوچنا دل میں,0.8571428571428571,0.0
LSTM,RMSprop,دل,1.0,دل کے پھوٹ وہ ڈوبے وہ ہوگا اور تو تو تھا,0.8181818181818182,0.0
LSTM,RMSprop,دل,1.3,دل مرثیہ ساون دل شوخی کرتے نہیں تقوی,0.875,0.0
LSTM,RMSprop,شام,0.7,شام بظاہر دبانا ہے بہتا تو تو حالیؔ ہو,0.8888888888888888,0.0
LSTM,RMSprop,شام,1.0,شام دہائی رتجگا ہے ہنسانا دل کا کہیں,1.0,0.0
LSTM,RMSprop,شام,1.3,شام بہت مسیحی بھی نکلیں ہے آمادۂ سے,1.0,0.0
LSTM,RMSprop,یاد,0.7,یاد پہنچے دھانوں ہے میں کیا تو کیا,0.875,0.0
LSTM,RMSprop,یاد,1.0,یاد گریۂ الاپوں ہے کرتی ہے بدل,0.8571428571428571,0.0
LSTM,RMSprop,یاد,1.3,یاد اسے دبانا ہے شاعری کس صوفیوں بگڑتا کا,1.0,0.0
LSTM,RMSprop,خوشی,0.7,خوشی پہاڑ بجے ہے سحر تو تو کیا ہے,0.7777777777777778,0.0
LSTM,RMSprop,خوشی,1.0,خوشی کیے ناطہ ہے اصیل کہیں نہ داری خوار,1.0,0.0
LSTM,RMSprop,خوشی,1.3,خوشی شکست چارگی ہے ویسا ابر نگاہ تمنا ہے,0.8888888888888888,0.0
LSTM,SGD,محبت,0.7,محبت ساحرؔ پاے پختہ مانع,1.0,0.0
LSTM,SGD,محبت,1.0,محبت ديکھا منزل وہ برقرار شیشہ قہقہہ پر,1.0,0.0
LSTM,SGD,محبت,1.3,محبت موٹ ٹیلے آئینۂ کعبہ سنتے اچھا جفاخو,1.0,0.0
LSTM,SGD,دل,0.7,دل کتنے ہنسایا خور,1.0,0.0
LSTM,SGD,دل,1.0,دل لڑکپن دوبارا محیط آنے مصلحت کہاں ہو گھونٹ بغیر گے نہیں,1.0,0.0
LSTM,SGD,دل,1.3,دل ٹوکے سونپ اسماۓ خشک جینے گراتا ہمسائیگی آیا بھور,1.0,0.0
LSTM,SGD,شام,0.7,شام موندنی باندھ اٹھانے خو ہوئی,1.0,0.0
LSTM,SGD,شام,1.0,شام دستگیری کھلکھلا مستاں چوکنا چکے جائیں,1.0,0.0
LSTM,SGD,شام,1.3,شام نظریں حوادث پوست پائے ازاں مہتاب داغوں سکھی ہے,1.0,0.0
LSTM,SGD,یاد,0.7,یاد ہجر طفلاں مریم یکسو ہیں,1.0,0.0
LSTM,SGD,یاد,1.0,یاد تنے جملہ طبیعت مہکتا پتہ یکہ,1.0,0.0
LSTM,SGD,یاد,1.3,یاد پھیرے ٹپکتی کوش آویں نظر ناز جو رہا کرو شراب دیکھو,1.0,0.0
LSTM,SGD,خوشی,0.7,خوشی واقعی؟ خواروں پاں مذاق آرا,1.0,0.0
LSTM,SGD,خوشی,1.0,خوشی معرکۂ کہلائیں چھٹ جھانکا حادثہ,1.0,0.0
LSTM,SGD,خوشی,1.3,خوشی خواہش برطرف تنعم آرزوئے لکھوں ہے خانے بار اپنا نہیں,1.0,0.0
